epoch,imp_-10..-5,imp_-5..0,imp_0..5,imp_5..15,imp_<-10,imp_>15,sil_supp_db,train,val,val_keep,val_mr,val_res_sil,val_res_sp,val_snr,val_spec
1,0.4371084228475043,0.3406875177341349,0.2844204750771706,0.12479081722574496,0.4468035962846544,-54.39594419797262,-0.7783788303143526,-0.9572392428219318,2.1782573206971088,0.00969888552208431,0.25857031190147,0.5136498597511358,0.2399217781300346,1.2224782432119052,0.4858200003703435
2,1.7307598552805312,1.3973716006559485,1.238780591923457,0.6223018322515925,1.7472796859564605,-58.08990714663551,-2.6724048216131595,-2.3565456631183626,1.9303928017616272,0.018095974364162732,0.24135666619986296,0.4850175784215101,0.21764522170027098,0.33853660554935533,0.4611134522904952
3,3.413981007768753,3.142222358899958,2.7899984396420994,1.0025339651545253,3.3513946246217796,-63.4829216003418,-6.9989085927378945,-2.686533910036087,1.409033768499891,0.048480864226197205,0.21077496279031038,0.4208617955265292,0.17049108414600292,-1.345789413084276,0.413045771420002
4,7.445221649839523,4.44005876954864,0.9719466079886143,-5.261212589543894,9.561076093603063,-73.96467054457892,-20.44090020506307,-2.8224644005298614,0.8415176154424747,0.19245658876995245,0.16643995698541403,0.230677512544086,0.05011772057817628,-2.853263263901075,0.32469304588933784
5,6.240005261086403,2.2766940354862633,-0.9405114765350635,-6.350569766595823,10.822288705243004,-74.19106248446873,-38.169852958921524,-2.8847611856460573,1.2633975918094318,0.42923253277937573,0.2323699068898956,0.051841163705679115,0.000981580801938738,-2.411540947854519,0.36770809938510257
6,8.565394499200456,6.923281242742258,5.0148163712941685,0.5301270178698618,10.109208685380441,-65.80530902317592,-48.25145101863069,-2.90083505487442,-0.03077128405372302,0.3352549659709136,0.17884467914700508,0.007327394310815786,0.005562014373329778,-5.717756733298302,0.30569411255419254
7,12.399253736151026,9.99270786257351,8.002202657552866,4.259213688176707,14.45552992379224,-59.87818504515148,-49.997088462169984,-2.884708037614822,-1.368681372453769,0.18454115247974792,0.1107781371101737,0.0019246573699168341,0.017263324950666476,-8.882763713598251,0.23711533502986035
8,13.787420143472387,11.304330355980817,9.318855689122127,6.070028602530103,16.453557877628892,-54.8004967939286,-48.3621986254822,-2.8736637034416197,-2.0022345955173173,0.11447970693310101,0.08257096369440357,0.002384928702279391,0.026201473044541974,-10.467780828475952,0.2093969446917375
9,14.38521310623656,11.928843526279225,9.90661297394679,6.837901622877208,17.182203910968923,-50.79380724543617,-47.523847502498,-2.852972236633301,-2.2679064869880676,0.08604531828314066,0.07239795452915132,0.0026274283363250106,0.03142772203621765,-11.15846535563469,0.19902971448997656
10,14.723948671462688,12.256997220656451,10.181011841847347,7.143014702228231,17.576192864665277,-48.38323998451233,-46.9656002013778,-2.8501375210285187,-2.387147997816404,0.07090107258409262,0.06863447441719472,0.002873167252156842,0.03618779642662654,-11.461426874001821,0.19644628247867027
11,14.920670012210278,12.443144601934096,10.339094299536486,7.2907489242903685,17.80494005591781,-47.295246862229845,-46.164828278190875,-2.787902541399002,-2.448104793826739,0.06366216965640585,0.06719035119749606,0.002489397683215581,0.03901172336190939,-11.622828384240469,0.1961213992908597
